,COUNTRY,iso3,year,de_jure,weighted_de_jure,legal_rule_count_total,de_jure_total,weighted_de_jure_total,weighted_de_jure_C,weighted_de_jure_I,weighted_de_jure_P,weighted_de_jure_GOV.PROT,weighted_de_jure_EXPRESSION,weighted_de_jure_OBLIGATION
8053,Venezuela,VEN,1894,0,0,0,0,0,0,0,0,0,0,0
8054,Venezuela,VEN,1895,0,0,0,0,0,0,0,0,0,0,0
8055,Venezuela,VEN,1896,0,0,0,0,0,0,0,0,0,0,0
8056,Venezuela,VEN,1897,0,0,0,0,0,0,0,0,0,0,0
8057,Venezuela,VEN,1898,0,0,0,0,0,0,0,0,0,0,0
8058,Venezuela,VEN,1899,0,0,0,0,0,0,0,0,0,0,0
8059,Venezuela,VEN,1900,0,0,0,0,0,0,0,0,0,0,0
8060,Venezuela,VEN,1901,0,0,0,0,0,0,0,0,0,0,0
8061,Venezuela,VEN,1902,0,0,0,0,0,0,0,0,0,0,0
8062,Venezuela,VEN,1903,0,0,0,0,0,0,0,0,0,0,0
8063,Venezuela,VEN,1904,0,0,0,0,0,0,0,0,0,0,0
8064,Venezuela,VEN,1905,0,0,0,0,0,0,0,0,0,0,0
8065,Venezuela,VEN,1906,0,0,0,0,0,0,0,0,0,0,0
8066,Venezuela,VEN,1907,0,0,0,0,0,0,0,0,0,0,0
8067,Venezuela,VEN,1908,0,0,0,0,0,0,0,0,0,0,0
8068,Venezuela,VEN,1909,0,0,0,0,0,0,0,0,0,0,0
8069,Venezuela,VEN,1910,0,0,0,0,0,0,0,0,0,0,0
8070,Venezuela,VEN,1911,0,0,0,0,0,0,0,0,0,0,0
8071,Venezuela,VEN,1912,0,0,0,0,0,0,0,0,0,0,0
8072,Venezuela,VEN,1913,0,0,0,0,0,0,0,0,0,0,0
8073,Venezuela,VEN,1914,0,0,0,0,0,0,0,0,0,0,0
8074,Venezuela,VEN,1915,0,0,0,0,0,0,0,0,0,0,0
8075,Venezuela,VEN,1916,0,0,0,0,0,0,0,0,0,0,0
8076,Venezuela,VEN,1917,0,0,0,0,0,0,0,0,0,0,0
8077,Venezuela,VEN,1918,0,0,0,0,0,0,0,0,0,0,0
8078,Venezuela,VEN,1919,0,0,0,0,0,0,0,0,0,0,0
8079,Venezuela,VEN,1920,0,0,0,0,0,0,0,0,0,0,0
8080,Venezuela,VEN,1921,0,0,0,0,0,0,0,0,0,0,0
8081,Venezuela,VEN,1922,0,0,0,0,0,0,0,0,0,0,0
8082,Venezuela,VEN,1923,0,0,0,0,0,0,0,0,0,0,0
8083,Venezuela,VEN,1924,0,0,0,0,0,0,0,0,0,0,0
8084,Venezuela,VEN,1925,0,0,0,0,0,0,0,0,0,0,0
8085,Venezuela,VEN,1926,0,0,0,0,0,0,0,0,0,0,0
8086,Venezuela,VEN,1927,0,0,0,0,0,0,0,0,0,0,0
8087,Venezuela,VEN,1928,0,0,0,0,0,0,0,0,0,0,0
8088,Venezuela,VEN,1929,0,0,0,0,0,0,0,0,0,0,0
8089,Venezuela,VEN,1930,0,0,0,0,0,0,0,0,0,0,0
8090,Venezuela,VEN,1931,0,0,0,0,0,0,0,0,0,0,0
8091,Venezuela,VEN,1932,0,0,0,0,0,0,0,0,0,0,0
8092,Venezuela,VEN,1933,0,0,0,0,0,0,0,0,0,0,0
8093,Venezuela,VEN,1934,0,0,0,0,0,0,0,0,0,0,0
8094,Venezuela,VEN,1935,0,0,0,0,0,0,0,0,0,0,0
8095,Venezuela,VEN,1936,0,0,0,0,0,0,0,0,0,0,0
8096,Venezuela,VEN,1937,0,0,0,0,0,0,0,0,0,0,0
8097,Venezuela,VEN,1938,0,0,0,0,0,0,0,0,0,0,0
8098,Venezuela,VEN,1939,0,0,0,0,0,0,0,0,0,0,0
8099,Venezuela,VEN,1940,0,0,0,0,0,0,0,0,0,0,0
8100,Venezuela,VEN,1941,0,0,0,0,0,0,0,0,0,0,0
8101,Venezuela,VEN,1942,0,0,0,0,0,0,0,0,0,0,0
8102,Venezuela,VEN,1943,0,0,0,0,0,0,0,0,0,0,0
8103,Venezuela,VEN,1944,0,0,0,0,0,0,0,0,0,0,0
8104,Venezuela,VEN,1945,0,0,0,0,0,0,0,0,0,0,0
8105,Venezuela,VEN,1946,0,0,0,0,0,0,0,0,0,0,0
8106,Venezuela,VEN,1947,0,0,0,0,0,0,0,0,0,0,0
8107,Venezuela,VEN,1948,0,0,0,0,0,0,0,0,0,0,0
8108,Venezuela,VEN,1949,0,0,0,0,0,0,0,0,0,0,0
8109,Venezuela,VEN,1950,0,0,0,0,0,0,0,0,0,0,0
8110,Venezuela,VEN,1951,0,0,0,0,0,0,0,0,0,0,0
8111,Venezuela,VEN,1952,0,0,0,0,0,0,0,0,0,0,0
8112,Venezuela,VEN,1953,0,0,0,0,0,0,0,0,0,0,0
8113,Venezuela,VEN,1954,0,0,0,0,0,0,0,0,0,0,0
8114,Venezuela,VEN,1955,0,0,0,0,0,0,0,0,0,0,0
8115,Venezuela,VEN,1956,0,0,0,0,0,0,0,0,0,0,0
