"","COUNTRY","iso3","year","de_jure","weighted_de_jure","pos_total","neg_total","de_jure_count_C","de_jure_count_GOV.PROT","de_jure_count_I","de_jure_count_P","weighted_de_jure_count_C","weighted_de_jure_count_GOV.PROT","weighted_de_jure_count_I","weighted_de_jure_count_P","de_jure_C","de_jure_GOV.PROT","de_jure_I","de_jure_P","weighted_de_jure_C","weighted_de_jure_GOV.PROT","weighted_de_jure_I","weighted_de_jure_P","pos_sum_C","pos_sum_GOV.PROT","pos_sum_I","pos_sum_P","neg_sum_C","neg_sum_GOV.PROT","neg_sum_I","neg_sum_P","legal_rule_count_C","legal_rule_count_GOV.PROT","legal_rule_count_I","legal_rule_count_P","de_jure_total","weighted_de_jure_total","legal_rule_count_total","de_jure_count_EXPRESSION","de_jure_count_OBLIGATION","weighted_de_jure_count_EXPRESSION","weighted_de_jure_count_OBLIGATION","de_jure_EXPRESSION","de_jure_OBLIGATION","weighted_de_jure_EXPRESSION","weighted_de_jure_OBLIGATION","pos_sum_EXPRESSION","pos_sum_OBLIGATION","neg_sum_EXPRESSION","neg_sum_OBLIGATION","legal_rule_count_EXPRESSION","legal_rule_count_OBLIGATION","APPEAL_NONREG","APPEAL_NONREG_CRISIS","APPEAL_REG","APPEAL_REG_CRISIS","C_DISINFO_GEN","C_DISINFO_GEN_CRISIS","C_DISINFO_GEN_DIGI","C_DISINFO_ICCPR","C_DISINFO_ICCPR_CRISIS","C_DISINFO_ICCPR_DIGI","C_DISINFO_NON-ICCPR","C_DISINFO_NON-ICCPR_CRISIS","C_DISINFO_NON-ICCPR_DIGI","C_EXPRESS_ICCPR","C_EXPRESS_ICCPR_CRISIS","C_EXPRESS_ICCPR_DIGI","C_EXPRESS_ICCPR_GOVOFF","C_EXPRESS_NON-ICCPR","C_EXPRESS_NON-ICCPR_CRISIS","C_EXPRESS_NON-ICCPR_DIGI","C_MALINFO_GEN","C_MALINFO_GEN_CRISIS","C_MALINFO_GEN_DIGI","C_MISINFO_GEN","C_MISINFO_GEN_CRISIS","C_MISINFO_GEN_DIGI","C_MISINFO_ICCPR","C_MISINFO_ICCPR_CRISIS","C_MISINFO_ICCPR_DIGI","C_MISINFO_NON-ICCPR","C_MISINFO_NON-ICCPR_CRISIS","C_MISINFO_NON-ICCPR_DIGI","EXEMPTION_LEG","EXEMPTION_LEG_CRISIS","EXEMPTION_SEPLEG","EXEMPTION_SEPLEG_CRISIS","GOV_CENSOR","GOV_CENSOR_CRISIS","GOV_NOWARRANT","GOV_NOWARRANT_CRISIS","GOV_OVERSIGHT","GOV_OVERSIGHT_CRISIS","GOV_REGULATOR","GOV_REGULATOR_CRISIS","GOV_WARRANT","GOV_WARRANT_CRISIS","IM_CORRECT","IM_CORRECT_CRISIS","IM_DAILY","IM_DAILY_CRISIS","IM_DATA","IM_DATA_CRISIS","IM_DEPLATFORM","IM_DEPLATFORM_CRISIS","IM_EMERGENCY","IM_EMERGENCY_CRISIS","IM_FUNDING","IM_FUNDING_CRISIS","IM_LICENSE","IM_LICENSE_CRISIS","IM_OVERSIGHT","IM_OVERSIGHT_CRISIS","IM_PREVENTION","IM_PREVENTION_CRISIS","IM_PUBINTEREST","IM_PUBINTEREST_CRISIS","IM_REPORT","IM_REPORT_CRISIS","I_DISINFO_GEN","I_DISINFO_GEN_CRISIS","I_DISINFO_GEN_DIGI","I_DISINFO_ICCPR","I_DISINFO_ICCPR_CRISIS","I_DISINFO_ICCPR_DIGI","I_DISINFO_NON-ICCPR","I_DISINFO_NON-ICCPR_CRISIS","I_DISINFO_NON-ICCPR_DIGI","I_EXPRESS_ICCPR","I_EXPRESS_ICCPR_CRISIS","I_EXPRESS_ICCPR_DIGI","I_EXPRESS_NON-ICCPR","I_EXPRESS_NON-ICCPR_CRISIS","I_EXPRESS_NON-ICCPR_DIGI","I_MALINFO_GEN","I_MALINFO_GEN_CRISIS","I_MALINFO_GEN_DIGI","I_MISINFO_GEN","I_MISINFO_GEN_CRISIS","I_MISINFO_GEN_DIGI","I_MISINFO_ICCPR","I_MISINFO_ICCPR_CRISIS","I_MISINFO_ICCPR_DIGI","I_MISINFO_NON-ICCPR","I_MISINFO_NON-ICCPR_CRISIS","I_MISINFO_NON-ICCPR_DIGI","LAWSUIT_LAWSUIT","LAWSUIT_LAWSUIT_CRISIS","PRESS_CORRECT","PRESS_CORRECT_CRISIS","PRESS_FUNDING","PRESS_FUNDING_CRISIS","PRESS_LICENSE","PRESS_LICENSE_CRISIS","PRESS_OVERSIGHT","PRESS_OVERSIGHT_CRISIS","PRESS_REPORT","PRESS_REPORT_CRISIS","P_DISINFO_GEN","P_DISINFO_GEN_CRISIS","P_DISINFO_GEN_DIGI","P_DISINFO_ICCPR","P_DISINFO_ICCPR_CRISIS","P_DISINFO_ICCPR_DIGI","P_DISINFO_NON-ICCPR","P_DISINFO_NON-ICCPR_CRISIS","P_DISINFO_NON-ICCPR_DIGI","P_EXPRESS_ICCPR","P_EXPRESS_ICCPR_CRISIS","P_EXPRESS_ICCPR_DIGI","P_EXPRESS_NON-ICCPR","P_EXPRESS_NON-ICCPR_CRISIS","P_EXPRESS_NON-ICCPR_DIGI","P_MALINFO_GEN","P_MALINFO_GEN_CRISIS","P_MALINFO_GEN_DIGI","P_MISINFO_GEN","P_MISINFO_GEN_CRISIS","P_MISINFO_GEN_DIGI","P_MISINFO_ICCPR","P_MISINFO_ICCPR_CRISIS","P_MISINFO_ICCPR_DIGI","P_MISINFO_NON-ICCPR","P_MISINFO_NON-ICCPR_CRISIS","P_MISINFO_NON-ICCPR_DIGI","REG_RULES","REG_RULES_CRISIS"
"1","ASEAN","ASEAN",1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","ASEAN","ASEAN",2012,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,0,3,0,1,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","African Union","AU",1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","African Union","AU",1986,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","African Union","AU",2002,1,0.888888888888889,3,0,1,1,1,0,1,1,0.666666666666667,0,1,1,1,0,1,1,0.666666666666667,0,1,1,1,0,0,0,0,0,1,1,1,0,3,2.66666666666667,3,1,2,1,1.66666666666667,1,1,1,0.833333333333333,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Algeria","DZA",1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Algeria","DZA",1966,0.230769230769231,0.181623931623932,16,-10,5,0,0,1,3.88888888888889,0,0,0.833333333333333,0.2,0,0,1,0.155555555555556,0,0,0.833333333333333,15,0,0,1,-10,0,0,0,25,0,0,1,6,4.72222222222222,26,5,1,3.88888888888889,0.833333333333333,0.2,1,0.155555555555556,0.833333333333333,15,1,-10,0,25,1,0,0,0,0,0,0,0,2,0,0,3,0,0,8,0,1,0,-8,0,0,0,0,0,0,0,0,1,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Algeria","DZA",1975,0.217391304347826,0.166666666666667,14,-9,4,0,0,1,3,0,0,0.833333333333333,0.181818181818182,0,0,1,0.136363636363636,0,0,0.833333333333333,13,0,0,1,-9,0,0,0,22,0,0,1,5,3.83333333333333,23,4,1,3,0.833333333333333,0.181818181818182,1,0.136363636363636,0.833333333333333,13,1,-9,0,22,1,0,0,0,0,0,0,0,2,0,0,2,0,0,7,0,1,0,-8,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Algeria","DZA",1982,0.368421052631579,0.296783625730994,26,-12,5,0,0,9,4,0,0,7.27777777777778,0.217391304347826,0,0,0.692307692307692,0.173913043478261,0,0,0.55982905982906,14,1,0,11,-9,-1,0,-2,23,2,0,13,14,11.2777777777778,38,9,5,7.11111111111111,4.16666666666667,0.290322580645161,0.714285714285714,0.229390681003584,0.595238095238095,20,6,-11,-1,31,7,0,0,0,0,0,0,0,2,0,0,2,0,0,8,0,1,0,-8,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,4,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Algeria","DZA",1988,0.571428571428571,0.46031746031746,11,-3,0,0,0,8,0,0,0,6.44444444444444,0,0,0,0.666666666666667,0,0,0,0.537037037037037,0,1,0,10,0,-1,0,-2,0,2,0,12,8,6.44444444444444,14,4,4,3.11111111111111,3.33333333333333,0.5,0.666666666666667,0.388888888888889,0.555555555555556,6,5,-2,-1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,4,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
