"","COUNTRY","iso3","year","dj_expression","wdj_expression","wdj_citizen","wdj_intermediaries","wdj_press","wdj_govprot","wdj_restriction","wdj_obligation"
"1","ASEAN","ASEAN",1894,0,0,0,0,0,0,0,0
"2","ASEAN","ASEAN",1895,0,0,0,0,0,0,0,0
"3","ASEAN","ASEAN",1896,0,0,0,0,0,0,0,0
"4","ASEAN","ASEAN",1897,0,0,0,0,0,0,0,0
"5","ASEAN","ASEAN",1898,0,0,0,0,0,0,0,0
"6","ASEAN","ASEAN",1899,0,0,0,0,0,0,0,0
"7","ASEAN","ASEAN",1900,0,0,0,0,0,0,0,0
"8","ASEAN","ASEAN",1901,0,0,0,0,0,0,0,0
"9","ASEAN","ASEAN",1902,0,0,0,0,0,0,0,0
"10","ASEAN","ASEAN",1903,0,0,0,0,0,0,0,0
"11","ASEAN","ASEAN",1904,0,0,0,0,0,0,0,0
"12","ASEAN","ASEAN",1905,0,0,0,0,0,0,0,0
"13","ASEAN","ASEAN",1906,0,0,0,0,0,0,0,0
"14","ASEAN","ASEAN",1907,0,0,0,0,0,0,0,0
"15","ASEAN","ASEAN",1908,0,0,0,0,0,0,0,0
"16","ASEAN","ASEAN",1909,0,0,0,0,0,0,0,0
"17","ASEAN","ASEAN",1910,0,0,0,0,0,0,0,0
"18","ASEAN","ASEAN",1911,0,0,0,0,0,0,0,0
"19","ASEAN","ASEAN",1912,0,0,0,0,0,0,0,0
"20","ASEAN","ASEAN",1913,0,0,0,0,0,0,0,0
"21","ASEAN","ASEAN",1914,0,0,0,0,0,0,0,0
"22","ASEAN","ASEAN",1915,0,0,0,0,0,0,0,0
"23","ASEAN","ASEAN",1916,0,0,0,0,0,0,0,0
"24","ASEAN","ASEAN",1917,0,0,0,0,0,0,0,0
"25","ASEAN","ASEAN",1918,0,0,0,0,0,0,0,0
"26","ASEAN","ASEAN",1919,0,0,0,0,0,0,0,0
"27","ASEAN","ASEAN",1920,0,0,0,0,0,0,0,0
"28","ASEAN","ASEAN",1921,0,0,0,0,0,0,0,0
"29","ASEAN","ASEAN",1922,0,0,0,0,0,0,0,0
"30","ASEAN","ASEAN",1923,0,0,0,0,0,0,0,0
"31","ASEAN","ASEAN",1924,0,0,0,0,0,0,0,0
"32","ASEAN","ASEAN",1925,0,0,0,0,0,0,0,0
"33","ASEAN","ASEAN",1926,0,0,0,0,0,0,0,0
"34","ASEAN","ASEAN",1927,0,0,0,0,0,0,0,0
"35","ASEAN","ASEAN",1928,0,0,0,0,0,0,0,0
"36","ASEAN","ASEAN",1929,0,0,0,0,0,0,0,0
"37","ASEAN","ASEAN",1930,0,0,0,0,0,0,0,0
"38","ASEAN","ASEAN",1931,0,0,0,0,0,0,0,0
"39","ASEAN","ASEAN",1932,0,0,0,0,0,0,0,0
"40","ASEAN","ASEAN",1933,0,0,0,0,0,0,0,0
"41","ASEAN","ASEAN",1934,0,0,0,0,0,0,0,0
"42","ASEAN","ASEAN",1935,0,0,0,0,0,0,0,0
"43","ASEAN","ASEAN",1936,0,0,0,0,0,0,0,0
"44","ASEAN","ASEAN",1937,0,0,0,0,0,0,0,0
"45","ASEAN","ASEAN",1938,0,0,0,0,0,0,0,0
"46","ASEAN","ASEAN",1939,0,0,0,0,0,0,0,0
"47","ASEAN","ASEAN",1940,0,0,0,0,0,0,0,0
"48","ASEAN","ASEAN",1941,0,0,0,0,0,0,0,0
"49","ASEAN","ASEAN",1942,0,0,0,0,0,0,0,0
"50","ASEAN","ASEAN",1943,0,0,0,0,0,0,0,0
"51","ASEAN","ASEAN",1944,0,0,0,0,0,0,0,0
"52","ASEAN","ASEAN",1945,0,0,0,0,0,0,0,0
"53","ASEAN","ASEAN",1946,0,0,0,0,0,0,0,0
"54","ASEAN","ASEAN",1947,0,0,0,0,0,0,0,0
"55","ASEAN","ASEAN",1948,0,0,0,0,0,0,0,0
"56","ASEAN","ASEAN",1949,0,0,0,0,0,0,0,0
"57","ASEAN","ASEAN",1950,0,0,0,0,0,0,0,0
"58","ASEAN","ASEAN",1951,0,0,0,0,0,0,0,0
"59","ASEAN","ASEAN",1952,0,0,0,0,0,0,0,0
"60","ASEAN","ASEAN",1953,0,0,0,0,0,0,0,0
"61","ASEAN","ASEAN",1954,0,0,0,0,0,0,0,0
"62","ASEAN","ASEAN",1955,0,0,0,0,0,0,0,0
"63","ASEAN","ASEAN",1956,0,0,0,0,0,0,0,0
"64","ASEAN","ASEAN",1957,0,0,0,0,0,0,0,0
"65","ASEAN","ASEAN",1958,0,0,0,0,0,0,0,0
"66","ASEAN","ASEAN",1959,0,0,0,0,0,0,0,0
"67","ASEAN","ASEAN",1960,0,0,0,0,0,0,0,0
"68","ASEAN","ASEAN",1961,0,0,0,0,0,0,0,0
"69","ASEAN","ASEAN",1962,0,0,0,0,0,0,0,0
"70","ASEAN","ASEAN",1963,0,0,0,0,0,0,0,0
"71","ASEAN","ASEAN",1964,0,0,0,0,0,0,0,0
"72","ASEAN","ASEAN",1965,0,0,0,0,0,0,0,0
"73","ASEAN","ASEAN",1966,0,0,0,0,0,0,0,0
"74","ASEAN","ASEAN",1967,0,0,0,0,0,0,0,0
"75","ASEAN","ASEAN",1968,0,0,0,0,0,0,0,0
"76","ASEAN","ASEAN",1969,0,0,0,0,0,0,0,0
"77","ASEAN","ASEAN",1970,0,0,0,0,0,0,0,0
"78","ASEAN","ASEAN",1971,0,0,0,0,0,0,0,0
"79","ASEAN","ASEAN",1972,0,0,0,0,0,0,0,0
"80","ASEAN","ASEAN",1973,0,0,0,0,0,0,0,0
"81","ASEAN","ASEAN",1974,0,0,0,0,0,0,0,0
"82","ASEAN","ASEAN",1975,0,0,0,0,0,0,0,0
"83","ASEAN","ASEAN",1976,0,0,0,0,0,0,0,0
"84","ASEAN","ASEAN",1977,0,0,0,0,0,0,0,0
"85","ASEAN","ASEAN",1978,0,0,0,0,0,0,0,0
"86","ASEAN","ASEAN",1979,0,0,0,0,0,0,0,0
"87","ASEAN","ASEAN",1980,0,0,0,0,0,0,0,0
"88","ASEAN","ASEAN",1981,0,0,0,0,0,0,0,0
"89","ASEAN","ASEAN",1982,0,0,0,0,0,0,0,0
"90","ASEAN","ASEAN",1983,0,0,0,0,0,0,0,0
"91","ASEAN","ASEAN",1984,0,0,0,0,0,0,0,0
"92","ASEAN","ASEAN",1985,0,0,0,0,0,0,0,0
"93","ASEAN","ASEAN",1986,0,0,0,0,0,0,0,0
"94","ASEAN","ASEAN",1987,0,0,0,0,0,0,0,0
"95","ASEAN","ASEAN",1988,0,0,0,0,0,0,0,0
"96","ASEAN","ASEAN",1989,0,0,0,0,0,0,0,0
"97","ASEAN","ASEAN",1990,0,0,0,0,0,0,0,0
"98","ASEAN","ASEAN",1991,0,0,0,0,0,0,0,0
"99","ASEAN","ASEAN",1992,0,0,0,0,0,0,0,0
"100","ASEAN","ASEAN",1993,0,0,0,0,0,0,0,0
"101","ASEAN","ASEAN",1994,0,0,0,0,0,0,0,0
"102","ASEAN","ASEAN",1995,0,0,0,0,0,0,0,0
"103","ASEAN","ASEAN",1996,0,0,0,0,0,0,0,0
"104","ASEAN","ASEAN",1997,0,0,0,0,0,0,0,0
"105","ASEAN","ASEAN",1998,0,0,0,0,0,0,0,0
"106","ASEAN","ASEAN",1999,0,0,0,0,0,0,0,0
"107","ASEAN","ASEAN",2000,0,0,0,0,0,0,0,0
"108","ASEAN","ASEAN",2001,0,0,0,0,0,0,0,0
"109","ASEAN","ASEAN",2002,0,0,0,0,0,0,0,0
"110","ASEAN","ASEAN",2003,0,0,0,0,0,0,0,0
"111","ASEAN","ASEAN",2004,0,0,0,0,0,0,0,0
"112","ASEAN","ASEAN",2005,0,0,0,0,0,0,0,0
"113","ASEAN","ASEAN",2006,0,0,0,0,0,0,0,0
"114","ASEAN","ASEAN",2007,0,0,0,0,0,0,0,0
"115","ASEAN","ASEAN",2008,0,0,0,0,0,0,0,0
"116","ASEAN","ASEAN",2009,0,0,0,0,0,0,0,0
"117","ASEAN","ASEAN",2010,0,0,0,0,0,0,0,0
"118","ASEAN","ASEAN",2011,0,0,0,0,0,0,0,0
