,mean,std,median,zero_share,cond_mean
C_EXPRESS_ORDER,0.05337995337995338,0.2248030782334011,0.0,0.9466200466200466,1.0
C_EXPRESS_OBSCENE,0.041025641025641026,0.19836109425976473,0.0,0.958974358974359,1.0
GOV_REGULATOR,0.040675990675990675,0.19755000112302956,0.0,0.9593240093240093,1.0
APPEAL_NONREG,0.040326340326340325,0.19673494258075144,0.0,0.9596736596736597,1.0
C_EXPRESS_PROPERTY,0.03974358974358974,0.1953675647575619,0.0,0.9602564102564103,1.0
IM_OVERSIGHT,0.03601398601398601,0.1863357871289001,0.0,0.963986013986014,1.0
APPEAL_REG,0.03566433566433566,0.18546266397945096,0.0,0.9643356643356643,1.0
C_EXPRESS_REPUTATION,0.035431235431235435,0.18487792364737002,0.0,0.9645687645687646,1.0
C_DISINFO_REPUTATION,0.035081585081585084,0.18399677511352994,0.0,0.9649184149184149,1.0
C_EXPRESS_RELIGION,0.03484848484848485,0.18340662055587229,0.0,0.9651515151515152,1.0
C_EXPRESS_HATE,0.03461538461538462,0.18281426364255077,0.0,0.9653846153846154,1.0
IM_REPORT,0.034032634032634033,0.18196530774008296,0.0,0.9657342657342657,0.9931972789115646
REG_RULES,0.0331002331002331,0.1789087427838458,0.0,0.9668997668997669,1.0
C_EXPRESS_LIFE,0.032167832167832165,0.1764559200664689,0.0,0.9678321678321679,1.0
C_MISINFO_REPUTATION,0.031002331002331,0.17333403643446021,0.0,0.968997668997669,1.0
PRESS_REPORT,0.029487179487179487,0.16917748525280746,0.0,0.9705128205128205,1.0
P_EXPRESS_ORDER,0.027855477855477855,0.16667959957332049,0.0,0.9714452214452215,0.9755102040816327
C_DISINFO_GEN,0.027855477855477855,0.16456824329603628,0.0,0.9721445221445222,1.0
C_EXPRESS_NATSEC,0.027389277389277388,0.16322441614554575,0.0,0.9726107226107226,1.0
GOV_OVERSIGHT,0.02668997668997669,0.1611851416292364,0.0,0.9733100233100234,1.0
PRESS_OVERSIGHT,0.026573426573426574,0.1608424532250198,0.0,0.9734265734265735,1.0
P_EXPRESS_HATE,0.026456876456876458,0.1604989484882136,0.0,0.9735431235431236,1.0
IM_LICENSE,0.026223776223776224,0.16902580459546887,0.0,0.9707459207459207,0.896414342629482
P_EXPRESS_MORAL,0.024475524475524476,0.15452914387674002,0.0,0.9755244755244755,1.0
C_EXPRESS_MORAL,0.023310023310023312,0.15089506251099288,0.0,0.9766899766899767,1.0
IM_PREVENTION,0.02191142191142191,0.15491355996051517,0.0,0.9755244755244755,0.8952380952380953
P_EXPRESS_RELIGION,0.021445221445221447,0.14487156397800172,0.0,0.9785547785547786,1.0
PRESS_LICENSE,0.021445221445221447,0.1767636156877084,0.0,0.9682983682983684,0.6764705882352942
GOV_WARRANT,0.020163170163170163,0.14056642428591454,0.0,0.9798368298368298,1.0
EXEMPTION_LEG,0.019696969696969695,0.13896492294871554,0.0,0.9803030303030303,1.0
P_EXPRESS_OBSCENE,0.018997668997669,0.1365244664511854,0.0,0.981002331002331,1.0
I_EXPRESS_NATSEC,0.016666666666666666,0.1280265567702673,0.0,0.9833333333333333,1.0
